iter	Passed	Remaining
413	7985	11303
414	8001	11279
415	8021	11260
416	8035	11417	417	8052	11212
418	8076	11199
419	8090	11172
420	8110	11155
421	8127	11131
422	8149	11116
423	8167	11095
424	8184	11073
425	8202	11426	426	8218	11427	427	8237	11428	428	8258	10429	429	8275	10430	430	8294	10950
431	8317	10936
432	8337	10917
433	8355	10896
434	8372	10875
435	8386	10436	436	8402	10437	437	8418	10438	438	8443	10439	439	8460	10440	440	8479	10441	441	8498	10442	442	8517	10443	443	8534	10444	444	8552	10445	445	8577	10446	446	8596	10447	447	8615	10448	448	8629	10449	449	8648	10450	450	8669	10451	451	8686	10452	452	8712	10520
453	8731	10454	454	8748	10455	455	8771	10464
456	8786	10440
457	8808	10424
458	8822	10398
459	8842	10380
460	8857	10461	461	8878	10462	462	8896	10463	463	8914	10464	464	8935	10465	465	8953	10466	466	8975	10467	467	8997	10468	468	9016	10469	469	9034	10470	470	9055	10471	471	9081	10472	472	9102	10473	473	9118	10474	474	9142	10104
475	9157	10476	476	9179	10064
477	9195	10478	478	9215	10479	479	9239	10009
480	9257	9989
481	9279	9972
482	9301	9956
483	9322	9938
484	9338	9916
485	9356	9895
486	9407	9909
487	9435	9899
488	9456	9882
489	9477	9864
490	9505	9853
491	9524	9834
492	9540	9811
493	9561	9793
494	9581	9774
495	9606	9761
496	9632	9748
497	9655	9733
498	9675	9714
499	9696	9696
500	9717	9678
501	9736	9659
502	9754	9638
503	9771	9616
504	9797	9603
505	9819	9586
506	9837	9565
507	9856	9546
508	9882	9533
509	9897	9509
510	9922	9495
511	9949	9483
512	9972	9466
513	9998	9454
514	10020	9436
515	10053	9429
516	10075	9413
517	10099	9397
518	10118	9519	519	10141	9520	520	10168	9521	521	10195	9522	522	10214	9523	523	10236	9524	524	10257	9525	525	10278	9526	526	10301	9527	527	10323	9528	528	10346	9211
529	10363	9530	530	10384	9531	531	10406	9532	532	10424	9533	533	10444	9534	534	10467	9535	10505	9094
536	10529	9078
537	10550	9060
538	538	10552	9539	10591	9022
540	540	10592	8541	541	10610	8542	542	10632	8543	10674	8947
544	10693	8927
545	10711	8906
546	10734	8890
547	10748	8865
548	10769	8847
549	10793	8831
550	550	10798	8551	551	10817	8552	552	10837	8553	553	10856	8554	554	10875	8555	555	10896	8556	556	10916	8557	557	10934	8558	558	10958	8559	559	10978	8560	560	10999	8561	561	11019	8562	562	11040	8563	563	11059	8564	564	11077	8565	565	11098	8566	566	11116	8567	567	11135	8568	568	11153	8569	569	11173	8570	570	11187	8571	571	11207	8572	572	11228	8573	573	11245	8574	574	11264	8575	575	11284	8576	576	11305	8577	577	11322	8578	578	11338	8579	11376	8238
580	11394	8217
581	11412	8196
582	11435	8179
583	11451	8157
584	11471	8137
585	11488	8116
586	11507	8096
587	11529	8078
588	11548	8058
589	11565	8036
590	11579	8013
591	11598	7993
592	11619	7974
593	11639	7955
594	11657	7935
595	11676	7914
596	11694	7894
597	11710	7872
598	11730	7853
599	11748	7832
600	600	11751	7601	11784	7791
602	11805	7772
603	603	11809	7604	604	11828	7605	11863	7713
606	11882	7693
607	11906	7676
608	11919	7652
609	11939	7633
610	11960	7614
611	11977	7593
612	11998	7575
613	12017	7555
614	12041	7537
615	12058	7516
616	12076	7496
617	12096	7476
618	12115	7457
619	12138	7439
620	12159	7420
621	12175	7399
